Water Level,Moisture Percentage,Light Intensity,Temperature,Humidity,Cluster
337,70.77,39,30,69,1
778,32.36,817,25,77,0
749,35.39,815,25,75,0
577,44.4,355,28,89,1
760,34.9,819,25,74,0
731,42.91,814,23,64,0
707,31.28,977,26,79,2
630,51.22,65,26,74,1
692,45.94,108,26,78,1
750,37.05,818,25,72,0
683,30.89,992,27,90,2
661,48.58,100,26,75,1
319,72.04,39,28,74,1
702,45.16,813,23,63,0
576,42.91,745,27,90,2
744,29.23,977,26,76,0
734,41.25,393,25,75,0
717,28.84,942,27,89,2
699,29.81,999,27,86,2
628,40.27,653,27,90,2
679,31.38,999,27,87,2
690,30.3,998,27,89,2
695,31.09,1000,27,82,2
681,47.21,105,26,75,1
705,29.52,999,27,85,2
709,31.18,977,26,78,2
675,32.16,1000,27,84,2
721,44.57,107,25,73,1
782,31.54,96,28,65,1
700,39.59,978,25,67,0
412,38.73,143,24,74,1
672,31.77,999,27,88,2
732,37.24,822,25,74,0
637,34.7,999,27,87,2
749,41.42,406,28,87,2
705,45.65,97,25,74,1
719,44.87,102,25,74,1
693,46.04,108,26,76,1
709,31.09,977,26,78,2
536,44.13,272,25,66,1
719,30.5,977,26,78,2
676,31.57,999,27,87,2
719,32.16,977,26,73,0
719,38.42,978,25,65,0
781,32.84,820,25,76,0
789,38.71,817,23,66,0
711,44.09,54,26,77,1
717,33.82,978,26,71,0
782,33.04,817,25,75,0
441,33.89,195,27,73,1
695,30.11,998,27,87,2
734,26.98,999,27,86,2
745,37.63,819,25,72,0
527,40.61,219,26,82,1
702,43.21,978,25,65,0
735,38.71,817,25,72,0
704,40.76,978,25,65,0
693,45.85,108,26,77,1
780,32.55,823,25,76,0
724,34.02,978,26,69,0
725,30.89,977,26,75,0
698,29.91,999,27,86,2
723,44.48,116,25,74,1
653,34.51,1000,27,82,2
453,36.22,243,29,69,1
369,30.91,348,24,88,1
695,29.91,996,27,89,2
473,33.66,90,29,73,1
302,36.9,447,28,76,1
769,33.24,820,25,75,0
715,33.43,977,26,72,0
664,32.45,999,27,88,2
695,29.81,998,27,88,2
713,29.03,1000,27,84,2
767,34.21,816,25,75,0
740,42.91,147,25,74,1
359,34.07,197,27,69,1
652,39,603,27,90,2
640,35.87,977,26,80,2
554,35.85,82,24,87,1
698,29.72,999,27,87,2
780,32.55,819,25,76,0
733,37.63,823,25,73,0
743,36.85,742,25,75,0
722,40.47,576,25,74,0
654,49.46,63,26,77,1
646,49.85,87,26,76,1
692,30.21,998,27,89,2
779,36.58,293,26,80,0
728,40.66,535,25,74,0
622,38.81,776,27,90,2
361,44.91,231,26,89,1
687,30.6,999,27,88,2
677,31.38,994,27,89,2
687,32.75,977,26,79,2
702,41.94,977,25,65,0
733,29.91,977,26,77,2
748,36.17,824,25,74,0
711,36.07,978,26,69,0
560,31.67,101,29,72,1
671,48.39,56,26,75,1
436,34.84,387,24,66,1
717,43.89,247,25,73,1
681,30.99,998,27,89,2
704,29.33,998,27,89,2
412,38.02,61,25,69,1
699,29.81,999,27,86,2
728,33.14,978,26,71,0
781,36.17,822,24,71,0
734,36.95,818,25,74,0
758,35,818,25,75,0
719,43.6,1001,23,64,0
648,34.21,1000,27,84,2
752,35.78,817,25,74,0
715,44.28,819,23,63,0
656,38.45,456,24,67,0
686,30.69,984,27,89,2
712,33.24,978,26,73,0
708,45.65,48,26,76,1
717,28.54,1000,27,84,2
786,35.87,816,24,72,0
645,35.78,977,26,80,2
699,46.04,106,25,74,1
494,38.75,251,27,86,1
705,30.01,1000,27,83,2
722,44.57,109,25,73,1
751,35.97,819,25,74,0
749,35.68,817,25,74,0
782,30.6,815,25,79,0
576,42.91,745,27,90,2
438,41.39,133,24,67,1
757,35.29,822,25,74,0
688,47.21,54,26,76,1
755,39.1,814,24,68,0
651,33.24,995,27,89,2
697,39.39,978,25,67,0
753,38.37,191,26,80,1
696,30.01,981,27,89,2
672,47.8,104,26,75,1
776,31.96,817,25,77,0
693,30.21,998,27,87,2
703,45.85,103,25,75,1
648,49.95,67,26,76,1
736,37.15,820,25,74,0
679,31.87,1000,27,84,2
691,30.69,999,27,84,2
697,30.89,1000,27,81,2
774,38.51,821,24,68,0
772,33.53,816,25,75,0
623,36.27,1000,27,84,2
707,36.02,307,29,75,1
765,40.57,817,23,65,0
699,45,401,29,78,1
717,44.09,820,23,64,0
760,34.8,795,25,75,0
721,43.7,815,23,63,0
732,27.17,999,27,86,2
657,48.88,97,26,75,1
786,35,815,24,73,0
770,40.08,817,23,65,0
652,33.24,993,27,90,2
716,33.53,977,26,72,0
698,44.09,978,24,63,0
561,41.04,412,27,73,1
655,49.17,64,26,77,1
767,34.51,822,25,74,0
614,36.17,998,27,89,2
381,67.94,44,26,75,1
770,34.7,822,25,74,0
723,44.48,111,25,73,1
700,40.08,977,25,65,0
676,31.48,999,27,88,2
770,37.63,816,24,69,0
784,38.81,815,23,66,0
771,33.43,822,25,75,0
701,46.14,55,26,76,1
725,42.52,325,25,74,1
699,45.94,106,25,74,1
639,50.05,67,26,75,1
701,38.03,978,25,67,0
771,34.21,817,25,74,0
626,51.61,66,26,75,1
751,36.46,824,25,73,0
723,44.38,112,25,73,1
756,36.36,822,25,73,0
730,41.64,389,25,75,0
789,38.12,817,24,66,0
783,30.11,820,25,78,0
627,44.48,493,29,71,1
603,52.98,64,26,76,1
637,34.7,999,27,87,2
726,30.89,977,26,76,0
731,30.3,977,26,76,0
779,33.24,818,25,76,0
734,42.52,260,25,73,1
712,45.36,96,25,74,1
771,35.68,818,24,74,0
694,30.01,998,27,89,2
784,34.8,815,24,74,0
718,33.14,978,26,72,0
505,39.16,439,24,80,1
694,31.77,864,27,90,2
716,28.25,999,27,88,2
341,38.37,117,27,67,1
702,29.62,998,27,87,2
704,40.08,978,25,65,0
735,36.75,819,25,74,0
736,30.6,977,26,74,0
696,30.6,1000,27,83,2
792,38.81,816,23,64,0
778,32.65,818,25,76,0
626,35.97,1000,27,84,2
713,34.51,978,26,71,0
751,35.58,788,25,75,0
685,32.55,977,26,80,2
321,44.38,188,28,72,1
682,47.21,105,26,75,1
543,39.11,80,29,80,1
759,34.7,820,25,76,0
642,35.7,491,29,65,1
777,35.68,818,24,72,0
319,32.88,172,25,66,1
618,52,63,26,76,1
774,33.63,816,25,75,0
686,30.69,999,27,87,2
685,39.03,291,25,84,1
735,27.57,1000,27,83,2
733,37.63,823,25,73,0
755,36.85,820,25,72,0
758,35,824,25,74,0
628,35.91,257,24,85,1
774,34.21,821,25,74,0
782,37.15,820,24,69,0
638,50.54,75,26,75,1
761,35.97,822,25,73,0
728,29.91,977,26,77,2
378,68.23,44,26,75,1
716,45.06,98,25,73,1
796,32.33,283,27,73,0
762,41.15,816,23,64,0
730,27.37,999,27,86,2
766,34.31,820,25,75,0
535,36.56,335,25,69,1
726,42.62,307,25,74,1
722,44.57,110,25,73,1
747,35.58,816,25,75,0
466,44.95,82,24,74,1
728,31.38,978,26,74,0
781,32.84,820,25,76,0
734,27.66,1000,27,83,2
769,33.72,817,25,74,0
655,32.94,998,27,89,2
744,29.81,977,26,74,0
800,41.22,185,24,73,0
757,36.85,821,25,72,0
724,44.28,127,25,73,1
786,38.42,819,24,66,0
735,42.52,269,25,73,1
340,41.28,291,28,72,1
723,43.3,256,25,73,1
782,35.97,821,24,71,0
710,44.18,54,26,77,1
697,30.89,1000,27,82,2
314,33.12,466,25,67,1
761,34.31,822,24,75,0
764,33.43,818,25,76,0
761,34.9,820,25,74,0
727,43.6,190,25,73,1
622,35.58,998,27,89,2
693,30.11,998,27,87,2
671,31.87,999,27,87,2
401,38.51,257,24,72,1
785,36.07,821,24,71,0
643,50.05,85,26,76,1
672,48.19,56,26,75,1
745,36.95,825,25,73,0
735,41.45,373,25,74,0
707,35.01,452,27,75,1
693,30.21,998,27,87,2
784,35,815,24,72,0
606,52.69,67,26,77,1
646,35.77,278,29,67,1
710,44.28,53,26,77,1
699,46.24,55,26,76,1
760,34.9,824,25,74,0
682,47.61,55,26,76,1
750,35.48,821,25,74,0
719,44.87,102,25,74,1
750,41.74,225,25,73,1
681,32.26,1000,27,82,2
787,35.87,817,24,70,0
757,35.29,822,25,74,0
516,37.97,132,28,80,1
783,39.49,815,23,65,0
382,38.85,236,26,72,1
654,33.72,1000,27,84,2
749,29.23,977,26,75,0
622,51.91,66,26,74,1
777,33.72,815,25,74,0
401,43.01,478,24,77,1
313,31.48,358,29,68,1
622,51.81,63,26,75,1
760,35.68,822,25,73,0
320,36.13,179,28,66,1
779,32.06,821,25,76,0
660,33.92,1000,26,82,2
568,43.05,67,29,74,1
732,29.03,977,26,80,2
607,38.83,460,28,84,2
754,35,818,25,75,0
735,38.03,823,25,73,0
770,33.63,817,25,75,0
725,42.03,978,24,63,0
773,34.7,815,25,73,0
724,27.76,998,27,88,2
656,33.24,999,27,85,2
644,38.22,706,27,90,2
741,30.16,250,29,90,2
774,33.63,816,25,75,0
720,34.58,460,28,71,1
306,42.39,385,28,65,1
718,28.15,998,27,88,2
775,32.84,823,25,76,0
740,36.36,816,25,74,0
703,39.88,978,25,65,0
726,38.12,817,25,73,0
721,43.89,819,23,63,0
764,33.33,817,25,76,0
749,35.58,817,25,76,0
701,31.28,869,27,90,2
757,35,804,25,74,0
711,44.09,54,26,77,1
315,34.28,264,24,82,1
757,35.09,812,25,74,0
448,38.4,101,29,70,1
758,37.15,822,25,72,0
657,32.84,996,27,89,2
557,39.03,371,28,85,1
702,43.49,146,29,71,1
770,33.82,816,25,75,0
769,33.63,821,25,75,0
661,32.65,999,27,87,2
723,44.48,112,25,73,1
715,33.43,977,26,72,0
667,32.16,999,27,88,2
671,48.39,56,26,75,1
763,36.66,824,25,72,0
701,38.53,412,29,73,1
525,41.48,130,27,86,1
764,33.53,822,25,75,0
483,32.09,298,29,69,1
686,30.79,981,27,89,2
726,38.12,817,25,73,0
494,44.39,121,29,67,1
687,46.73,103,26,75,1
710,28.64,999,27,88,2
770,33.82,816,25,75,0
767,31.67,816,25,78,0
442,38.34,99,24,72,1
763,34.7,822,25,74,0
771,34.9,818,25,73,0
780,31.87,822,25,77,0
647,31.11,50,28,73,1
738,31.95,192,27,88,2
623,38.12,837,27,90,2
725,42.52,318,25,74,1
741,30.01,977,26,75,0
750,35.58,790,25,75,0
725,44.28,123,25,73,1
740,35.78,821,25,75,0
766,34.6,822,25,74,0
727,31.28,977,26,74,0
732,37.15,822,25,74,0
690,30.3,987,27,89,2
628,35.91,257,24,85,1
732,37.15,822,25,74,0
675,31.28,998,27,89,2
757,35,818,25,74,0
691,30.99,1000,27,83,2
713,29.03,1000,27,84,2
785,39.2,815,23,64,0
758,35,820,25,75,0
664,32.45,999,27,87,2
715,44.57,52,26,76,1
485,40.65,408,28,85,1
668,31.96,998,27,89,2
676,31.48,999,27,87,2
718,44.77,100,25,74,1
692,46.04,108,26,77,1
774,33.33,815,25,75,0
741,37.24,717,25,75,0
676,31.96,963,27,90,2
790,37.44,821,24,68,0
709,44.28,55,26,76,1
752,35,823,25,76,0
725,38.71,819,25,73,0
679,31.38,999,27,87,2
718,33.24,978,26,72,0
695,38.51,977,25,68,0
721,43.89,819,23,63,0
476,44.53,127,25,73,1
462,37.36,463,28,72,1
743,36.46,762,25,75,0
772,33.63,816,25,74,0
750,29.13,977,26,75,0
743,36.17,819,25,74,0
720,42.82,977,24,63,0
615,44.71,244,29,70,1
719,43.7,981,23,64,0
650,49.56,91,26,76,1
753,35.19,816,25,74,0
360,44.2,140,29,90,1
533,30.95,402,24,71,0
626,51.61,63,26,74,1
706,31.28,977,26,79,2
670,31.87,998,27,88,2
787,38.61,816,23,65,0
741,42.62,179,25,73,1
737,36.85,821,25,74,0
703,29.23,998,27,89,2
731,27.27,999,27,86,2
701,32.26,977,26,77,2
602,42.41,305,25,71,1
701,45.36,820,23,63,0
705,45.55,99,25,74,1
667,32.45,999,27,86,2
748,35.58,816,25,74,0
759,34.7,820,25,76,0
773,34.21,822,25,73,0
786,38.81,814,23,66,0
779,32.75,821,25,76,0
719,44.67,104,25,73,1
727,43.3,231,25,73,1
704,29.42,998,27,86,2
763,34.6,818,25,74,0
735,26.98,999,27,85,2
570,43.79,717,27,90,2
659,38.02,317,27,86,2
706,36.46,978,26,68,0
728,40.86,528,25,74,0
743,42.62,158,25,73,1
717,31.46,358,24,83,0
718,43.6,979,23,64,0
686,46.82,104,26,75,1
401,37.67,229,25,90,1
720,28.84,1000,27,83,2
705,30.3,1000,27,81,2
730,27.37,999,27,86,2
702,29.33,998,27,89,2
726,42.62,301,25,73,1
755,35.29,819,25,74,0
579,42.91,723,27,90,2
557,39.03,371,28,85,1
745,35.97,818,25,74,0
665,32.55,999,27,87,2
763,35,819,25,74,0
580,43.26,296,27,65,1
689,46.53,103,26,75,1
706,45.65,96,25,74,1
724,43.79,362,24,82,0
695,38.51,978,25,67,0
632,51.03,65,26,75,1
721,32.26,977,26,73,0
696,30.01,998,27,87,2
777,32.65,824,25,75,0
674,31.57,998,27,89,2
732,36.97,232,29,83,2
732,43.3,176,25,73,1
781,32.16,817,25,77,0
758,35,819,25,74,0
733,38.81,639,25,74,0
604,52.98,63,26,76,1
411,44.69,322,28,87,1
629,30.76,466,27,80,2
786,38.22,815,24,67,0
738,42.13,272,25,73,1
733,30.69,977,26,74,0
758,36.66,824,25,72,0
774,33.53,822,25,75,0
749,29.33,977,26,75,0
760,34.51,820,25,75,0
708,34.51,978,26,72,0
753,41.64,205,25,73,1
781,30.5,820,25,79,0
712,44.67,53,26,76,1
703,44.97,815,23,63,0
714,45.16,97,25,74,1
381,39.52,337,24,72,1
760,33.82,822,25,75,0
708,29.03,998,27,87,2
739,38.12,666,25,74,0
699,29.81,999,27,86,2
750,37.05,817,25,73,0
681,32.06,1000,27,82,2
721,32.45,977,26,73,0
647,49.56,90,26,76,1
417,34.37,270,27,70,1
720,32.84,977,26,72,0
730,30.6,977,26,75,0
793,41.52,474,25,75,0
776,31.28,824,25,78,0
538,34.51,205,28,82,1
701,38.22,978,25,67,0
717,34.8,978,26,70,0
687,30.5,998,27,88,2
606,34.15,193,29,66,1
726,38.91,817,25,73,0
674,47.61,105,26,75,1
724,30.89,977,26,76,0
719,32.16,977,26,73,0
739,44.49,304,28,85,1
754,35.68,819,25,74,0
642,50.24,76,26,75,1
773,33.72,820,25,74,0
755,35.39,816,25,74,0
729,42.72,820,23,65,0
776,33.92,816,25,74,0
655,39.26,409,29,81,2
778,33.14,818,25,74,0
628,35.58,999,27,86,2
726,33.82,978,26,71,0
761,36.66,821,25,72,0
786,43.45,402,25,75,0
667,48.19,103,26,76,1
740,30.21,977,26,74,0
771,33.14,816,25,76,0
704,31.28,977,26,79,2
708,28.84,998,27,89,2
789,38.61,819,24,67,0
772,33.43,823,25,76,0
417,42.61,146,28,65,1
543,39.11,80,29,80,1
592,42.02,394,26,90,1
602,34.44,116,27,72,1
748,32.36,978,26,70,0
689,46.24,106,26,77,1
781,39.1,820,23,65,0
732,37.73,823,25,73,0
753,35.58,823,25,74,0
306,42.39,385,28,65,1
772,34.21,821,25,74,0
726,41.25,506,25,74,0
672,31.96,999,27,85,2
694,46.63,54,26,76,1
731,43.4,164,25,73,1
780,36.27,815,24,71,0
748,29.23,977,26,75,0
738,37.83,817,25,72,0
732,41.06,438,25,75,0
780,36.66,815,24,70,0
332,30.96,315,27,77,1
691,30.4,999,27,87,2
467,43.54,167,25,68,1
575,42.7,364,24,80,1
600,31.27,379,24,88,2
758,35.19,820,25,74,0
760,34.9,824,25,75,0
655,33.43,1000,27,85,2
783,32.94,820,25,76,0
412,38.73,143,24,74,1
663,33.04,1000,27,84,2
308,37.66,118,25,70,1
757,34.21,821,25,75,0
717,36.07,977,26,68,0
538,34.51,205,28,82,1
741,35.97,823,25,74,0
725,30.21,977,26,77,2
663,32.45,998,27,89,2
644,38.43,194,27,79,1
447,43.03,328,24,69,1
722,30.07,273,28,73,2
748,29.52,977,26,75,0
655,49.17,97,26,75,1
733,29.91,977,26,77,2
339,30.29,83,27,82,1
683,47.21,104,26,75,1
717,30.6,977,26,78,2
772,41.57,266,26,71,1
760,34.51,815,24,76,0
699,46.04,106,25,74,1
604,52.88,61,26,75,1
402,40.74,150,26,84,1
727,43.05,112,26,74,1
746,35.58,816,25,75,0
693,30.3,998,27,87,2
658,33.43,999,27,85,2
614,52.1,62,26,75,1
534,35.5,283,26,68,1
774,34.21,821,25,74,0
773,34.21,818,25,74,0
701,29.62,998,27,89,2
606,52.79,67,26,77,1
653,49.56,64,26,77,1
470,35.34,131,25,73,1
781,33.24,819,24,75,0
693,32.06,977,26,80,2
699,32.45,977,26,78,2
700,29.62,998,27,88,2
656,49.07,98,26,75,1
723,39.3,821,25,72,0
660,43.49,381,29,71,1
694,30.11,999,27,87,2
774,33.82,821,24,76,0
746,29.13,977,26,77,2
710,30.89,977,26,79,2
369,38.14,126,24,82,1
715,28.35,999,27,88,2
712,44.57,813,23,63,0
637,34.41,998,27,89,2
751,35,819,25,75,0
704,30.6,998,26,81,2
703,45.65,101,25,75,1
776,32.94,817,25,75,0
389,40.48,344,25,70,1
644,50.05,85,26,76,1
638,50.73,74,26,75,1
645,34.21,1000,27,86,2
746,37.24,819,25,73,0
712,44.48,819,23,64,0
732,37.73,823,25,73,0
554,40.61,461,27,70,1
760,33.92,817,25,75,0
771,33.43,816,25,75,0
759,34.9,816,25,75,0
625,51.71,62,26,75,1
720,44.57,104,25,73,1
770,33.63,820,25,74,0
695,37.83,295,24,71,0
771,33.43,822,25,75,0
713,44.87,51,26,76,1
464,40.1,127,24,82,1
721,30.4,977,26,78,2
678,47.41,104,26,75,1
696,39.49,978,25,67,0
784,33.14,816,24,76,0
625,51.61,63,26,75,1
694,29.91,998,27,88,2
697,39.39,978,25,67,0
747,35.87,818,25,74,0
662,33.53,1000,27,82,2
729,43.21,820,23,63,0
633,31.46,370,26,80,2
692,30.11,998,27,89,2
772,33.72,820,25,74,0
727,30.01,977,26,77,2
613,52.3,61,26,75,1
683,46.92,104,26,75,1
646,34.12,999,27,86,2
724,30.11,977,26,78,2
702,45.75,105,25,75,1
718,43.79,978,23,64,0
758,36.66,824,25,72,0
389,40.48,344,25,70,1
776,31.28,824,25,78,0
649,40.04,105,24,74,1
603,52.98,66,26,77,1
720,43.79,815,23,64,0
640,49.95,67,26,75,1
696,44.77,978,24,63,0
728,41.94,369,25,74,0
786,38.51,817,24,67,0
780,31.09,815,25,78,0
726,40.66,553,25,74,0
633,51.03,68,26,74,1
739,38.32,818,25,72,0
696,37.54,978,26,70,0
777,33.53,820,25,74,0
758,35.09,821,25,74,0
748,36.66,822,25,73,0
695,39.39,978,25,66,0
618,40.22,441,25,67,1
779,32.94,815,25,75,0
775,38.22,817,24,68,0
452,36.86,234,27,68,1
727,43.6,174,25,73,1
695,38.51,977,25,68,0
772,38.22,821,24,68,0
677,47.8,55,26,75,1
374,37.32,233,25,87,1
654,43.9,408,25,66,1
566,37.9,381,28,83,1
711,34.41,978,26,70,0
695,37.54,978,26,69,0
730,37.73,817,25,73,0
686,32.45,977,26,81,2
722,28.74,1000,27,82,2
759,34.8,820,25,76,0
704,39.88,978,25,65,0
649,49.85,65,26,76,1
772,33.53,816,25,75,0
673,31.77,999,27,87,2
434,42.34,332,28,68,1
782,37.73,819,24,68,0
699,43.99,978,24,63,0
724,44.18,129,25,73,1
724,43.4,820,23,64,0
643,50.24,68,26,75,1
728,34.51,978,26,69,0
722,32.55,978,26,73,0
784,39.2,819,23,65,0
774,34.41,815,25,74,0
782,33.04,815,25,75,0
622,38.81,776,27,90,2
527,39.39,108,27,89,1
690,30.4,998,27,87,2
604,36.4,190,24,84,1
644,38.22,706,27,90,2
700,39.98,978,25,66,0
717,33.04,978,26,73,0
749,29.33,977,26,75,0
764,36.17,824,25,72,0
749,36.56,822,25,74,0
681,31.48,1000,27,85,2
582,39.41,283,25,75,1
755,37.34,823,25,71,0
777,30.69,818,25,79,0
587,42.17,166,26,71,1
694,30.11,998,27,87,2
733,37.73,817,25,73,0
494,38.75,251,27,86,1
625,35.1,274,26,66,1
780,38.91,819,24,68,0
717,28.74,956,27,90,2
713,44.48,53,26,77,1
646,33.82,1000,27,84,2
670,32.94,1000,27,82,2
721,36.53,247,25,88,2
688,46.63,103,25,75,1
690,30.4,999,27,86,2
